큰지역,세부지역,세부사업,지역
대전광역시,유성구,방산,대전광역시 유성구
전북특별자치도,전주,탄소섬유,전북특별자치도 전주
전북특별자치도,익산,동물용의약품,전북특별자치도 익산
전북특별자치도,정읍,건강기능식품,전북특별자치도 정읍
전북특별자치도,김제,"자동차부품, 특장차",전북특별자치도 김제
전라남도,목포,해상풍력 터빈 등,전라남도 목포
전라남도,해남,해상풍력 터빈 등,전라남도 해남
전라남도,광양만권,이차전지 소재,전라남도 광양만권
전라남도,순천,문화콘텐츠,전라남도 순천
전라남도,여수,"LNG터미널,수소",전라남도 여수
전라남도,해남,데이터센터단지,전라남도 해남
제주특별자치도,서귀포,우주항공,제주특별자치도 서귀포
경상북도,포항,이차전지 소재,경상북도 포항
경상북도,상주,이차전지 소재,경상북도 상주
경상북도,구미,"반도체, 이차전지, 방산",경상북도 구미
경상북도,안동,바이오,경상북도 안동
대구광역시,수성구,"데이터센터, ICT/SW",대구광역시 수성구
대구광역시,달성군,"이차전지 소재, 전기차 부품",대구광역시 달성군
대구광역시,북구,"전기차, 로봇 부품",대구광역시 북구
부산광역시,동구,금융,부산광역시 동구
부산광역시,남구,금융,부산광역시 남구
경상남도,고성,해상풍력 구조물,경상남도 고성