거리명,거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정연도,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
강풀만화거리,지역 유명 작가의 만화(웹툰)과 마을 이야기를공공미술로 재구성한 이야기 골목길,서울시 강동구 천호대로 164길 4-1,서울특별시 강동구 성내동 160-18번지,37.5360829,127.1280477,1000.0,40,2013,3425-6130,서울특별시 강동구청 도시경관과,2023-08-18,3240000,서울특별시 강동구
문화의 거리,시장활성화+특색있는 거리 조성+보행환경개선를 위해 2009년도 조성,경상북도 영주시 구성로350번길,경상북도 영주시 영주동 377-3,36.8239565,128.6240847,245.0,170,2009,054-639-6662,경상북도 영주시청,2023-07-20,5090000,경상북도 영주시
녹동 음식특화거리,녹동구항 음식거리 일부를 유럽풍의 옥외음식 영업가능 거리로 조성,전라남도 고흥군 도양읍 비봉로 177,전라남도 고흥군 도양읍 봉암리 2786,34.5256702381,127.1357485953,90.0,12,2017,061-830-5442,전라남도 고흥군청,2023-12-07,4880000,전라남도 고흥군
창동 먹자골,음식점 특화거리,경기도 여주시 세종로 40번길 15,경기도 여주시 창동 146-3,37.2948487017,127.634332975,200.0,80,2012,031-887-2272,경기도 여주시청,2023-11-15,5700000,경기도 여주시
한재미나리와삼겹살거리,"청도 남산과 화악산 사이의 계곡을 따라 형성된 거리로 맑고 풍부한 지하수와 충분한 햇볕을 받아 자라 비타민과 무기질, 섬유질 함량이 풍부하여 해독과 혈액을 정화시키는데 좋은 알카리성 식품인 미나리와 뜨겁고 기름진 삼겹살은 음식 궁합이 잘 맞아 한재미나리와 삼겹살 음식점들이 전국적인 명성을 얻으며 성업 중인 곳임",경상북도 청도군 청도읍 새마을로 149-42,경상북도 청도군 청도읍 초현리 243-3,35.5734444,128.7580072,4230.0,25,2018,054-370-6172,경상북도 청도군청,2024-08-12,5190000,경상북도 청도군
40계단문화관광테마거리,6.25피난민들의 애환이 살아있는 40계단주변 테마거리,부산광역시 중구 중앙대로 73,,35.1039176,129.0324054,1697.0,65,2002,051-600-4042,부산광역시 중구청,2024-08-12,3250000,부산광역시 중구
영화의거리,121년의 역사를 가진 부산영화의 메카로서 부산국제영화제가 탄생한 영화거리(BIFF광장 일원),부산광역시 중구 비프광장로 20,,35.098738,129.027566,400.0,100,1996,051-600-4062,부산광역시 중구청,2024-08-12,3250000,부산광역시 중구
충무동 골목시장 고갈비특화거리,"충무동 골목시장에 추억의 향토음식인 고갈비를 특화한 거리로 골목시장 사거리에 있는 일명 파전골목을 기존 건물의 간판 등을 모두 철거·정비하고, 시장아치, 유도사인물 보수와 리모델링하여 고갈비전문 음식점 (12개 업소와 7개 이동식판매대)으로 변모하여 손님 맞이에 나서고 있다",부산광역시 서구 충무시장길 30(충무동1가),부산광역시 서구 충무동1가 29-1,35.09513362,129.0233074,568.0,98,2017,051-240-4475,부산광역시서구청,2024-11-20,3260000,부산광역시 서구
영천한방테마거리,영천한의마을 한방테마거리는 한방도시 영천에 대한 다양한 정보를 얻을 수 있는 영천 홍보관과 사상체질 진단체험을 통해 자신의 체질 정보를 확인하고 체험자에게 맞는 한약재와 약선음식 정보를 알아볼 수 있는 한의원과 옛날 한약방 한방체험실로 구성되어 있습니다.,경상북도 영천시 천문로 485,경상북도 영천시 화룡동 128,35.9775462,128.9218414,540.123,3,2018,054-330-2750,경상북도 영천시 시설관리공단,2024-11-20,5100000,경상북도 영천시
운연동 추어마을,"원래는 농촌마을이었으나 논에 미꾸라지가 많이 잡히면서 마을 주민들이 추어탕을 즐겨 만들어 먹었음. 서울식,남도식,원주식 등 손님의 입맛에 맞게 고를수 있는 추어탕 음식점이 밀집되어있어 2006년 특색음식거리로 지정",인천광역시 남동구 수인로 3536,인천광역시 남동구 운연동 40-15,,,392.0,10,2006,032-453-8472,인천광역시 남동구청,2024-11-18,3530000,인천광역시 남동구
구월문예길음식문화1번가,"이 지역은 일명 구월동 밴댕이 골목으로 대형쇼핑몰, 문화예술회관 등이 밀집되어있어 문화와, 예술, 쇼핑을함께 즐길수 있는 곳으로 2002년 월드컵을 대비하여 2001년 특색음식거리로 지정",인천광역시 남동구 문화서로 4번길 61-16,인천광역시 남동구 구월동 1406-4,,,450.0,73,2001,032-453-8472,인천광역시 남동구청,2024-11-18,3530000,인천광역시 남동구
소래포구신도로횟집거리,소래포구는 인천의 명소로 먹거리 발굴 및 육성을 위해 횟집 밀집지역인 신도로 지역을 2011년도에 특색음식거리로 지정,인천광역시 남동구 포구로 15,인천광역시 남동구 논현동 111-247,,,533.0,9,2011,032-453-8472,인천광역시 남동구청,2024-11-18,3530000,인천광역시 남동구
구월로데오음식문화거리,"백화점, 터미널, 쇼핑센터, 음식점 등이 밀집한 지역으로 인천의 핫플레이스로 2019년 음식문화거리로 지정",인천광역시 남동구 성말로 10,인천광역시 남동구 구월동 1463번지,,,720.0,85,2019,032-453-8472,인천광역시 남동구청,2024-11-18,3530000,인천광역시 남동구
문화의거리,"울산동헌과 문화의거리가 상가 주변에 위치하고 있어 원도심 도보 여행 코스로 적정한 장소이며, 거리내 다수의 미술작품이 설치되어 있고 거점건물에는 파사드를 설치하여 볼거리가 풍부한 지역이다.  ○ 중앙길상가 내 문화의거리 주변에는 문화예술업종이 50개소(갤러리, 공방, 조각 등)가 입점되어 있으며, 2019년 올해의 관광도시로 지정된 지역이다.",울산광역시 중구 중앙길 119,울산광역시 중구 성남동 87-5,35.55587829,129.320005,880.0,110,2009,052-290-3660,울산광역시 중구청,2024-11-13,3690000,울산광역시 중구
젊음의거리,"중앙전통시장과 연결되어 있으며 울산지역에서 젊은층(10~30대)의 유동인구가 가장 많은 지역이다.  ○ 인근에 대형 주차장이 다수 위치하고 있어 접근성이 좋으며, 전구간이 아케이드가 설치되어 있고,각종 조형물과 볼거리가 많은 지역이며, 대형영화관과 쇼핑 아울렛이 위치하고 있다.",울산광역시 중구 젊음의거리 49,울산광역시 중구 성남동 219-77,35.55402925,129.3194367,500.0,177,2007,052-290-3310,울산광역시 중구청,2024-11-13,3690000,울산광역시 중구
보세거리,"중구의 아케이드를 최초로 설치한 보세품목 전문 특화거리로 여성의류, 아동의류, 잡화품목이 분포하여 있다.",울산광역시 중구 먹자거리 25,울산광역시 중구 성남동 247-2,35.55475441,129.320971,120.0,55,2011,052-290-3320,울산광역시 중구청,2024-11-13,3690000,울산광역시 중구
음식문화특화거리,물왕동 주변 1.5KM 연음식 테마로드로 조성,"경기도 시흥시 동서로811번길, 경기도 시흥시 동서로857번길",경기도 시흥시 물왕동 151,37.38669547,126.8394896,1000.0,56,2010,031-310-2484,경기도 시흥시,2023-11-21,4010000,경기도 시흥시
한의약거리,한약재  판매점포 및 한의원등이 밀집해 있는 거리로 한의약에 대한 정보를 제공받을 수있음.,대전광역시 동구 중앙로 203번길 8,대전광역시 동구 중동 64-19,36.331282,127.4315912,250.0,90,1997,042-251-4613,대전광역시 동구청 일자리경제과 시장활성화,2023-11-14,3640000,대전광역시 동구
인쇄거리,예전 출판업이 번성했을 당시 지정되었던 거리로 인쇄업체가 밀집하여 있음.,대전광역시 동구 태전로 18,대전광역시 동구 중동 21-26,36.33222182,127.430403,750.0,422,1997,042-251-4613,대전광역시 동구청 일자리경제과 시장활성화,2023-11-14,3640000,대전광역시 동구
한복거리,중앙시장활성화구역안에 밀집해 있는 한복과 원단등을 주로 판매하는 구역,대전광역시 동구 중앙로 200번길 104,대전광역시 동구 원동 85-26,36.32646482,127.4335963,300.0,410,1997,042-251-4613,대전광역시 동구청 일자리경제과 시장활성화,2023-11-14,3640000,대전광역시 동구
공구거리,"대전역주변 구역으로 각종 공구 ,철물들을 판매하는 업체가 밀집",대전광역시 동구 대전로 774,대전광역시 동구 원동 20-13,36.32891644,127.4342509,250.0,35,1998,042-251-4613,대전광역시 동구청 일자리경제과 시장활성화,2023-11-14,3640000,대전광역시 동구
건설건축자재거리,건설건축자재를 판매하는 업체가 밀집하여 있는 구역,대전광역시 동구 충무로 190-24,대전광역시 동구 인동 44-2,36.32028226,127.4374648,1000.0,69,1999,042-251-4613,대전광역시 동구청 일자리경제과 시장활성화,2023-11-14,3640000,대전광역시 동구
중부건어물,중동지역 건어물 판매상이 밀집,대전광역시 동구 813번길 53,대전광역시 동구 중동 30-3,36.33129364,127.4292643,110.0,58,2002,042-251-4613,대전광역시 동구청 일자리경제과 시장활성화,2023-11-14,3640000,대전광역시 동구
안산상록수가구거리,안산시 유일의 가구유통매장 밀집지역으로 다양한 가구를 전시 및 할인 판매하고 있음,경기도 안산시 상록구 용신로 431,경기도 안산시 상록구 본오동 1114-10,37.301729,126.8701577,510.0,40,2013,031-481-2684,경기도 안산시청,2023-11-14,3930000,경기도 안산시
안산패션타운,"안산시 사동에 소재한 의류 상설할인매장으로 의류 유통업체가 다수 밀집되어 있어, 상시할인를 진행중에 있음",경기도 안산시 상록구 삼리로 49,경기도 안산시 상록구 사동 1530,37.30498141,126.8446652,620.0,113,2013,031-481-2684,경기도 안산시청,2023-11-14,3930000,경기도 안산시
안산패션일번가,안산시 고잔동에 위치한 의류상설할인매장으로 다양한 종류의 의류 유통업체가 입점하여 상시할인중인 장소임,경기도 안산시 단원구 중앙대로 907,경기도 안산시 단원구 고잔동 541,37.317144,126.8377162,250.0,120,2013,031-481-2684,경기도 안산시청,2023-11-14,3930000,경기도 안산시
생연음식문화특화거리,동두천 생연음식문화거리는 동두천의 생골과 연동마을의 첫글자를 따서 생연이라고 하였고 고구려시대부터 있었던 아담한 연못에서 유래하였습니다 생연로에 오시면 동두천의 역사를 간직한 중앙에 위치하고 있으며 이곳에는 내고향 최고의 맛집에 소개된 설렁탕과 한우구이를 비롯한 횟집과 삼계탕 중국음식으로 특이한 북경면등 다양한 음식업소가 밀집된 동두천의 역사이자 문화를 지닌 지역입니다,경기도 동두천시 생연로 172,경기도 동두천시 생연동 587-16,37.9077377,127.0532387,800.0,60,2013,031-860-2727,경기도 동두천시청 관광휴양과,2024-08-28,3920000,경기도 동두천시
보산동 외국인관광특구 특화거리,"보산동 외국인관광특구 특화거리는 동두천에 미군이 주둔하면서 자연발생적으로 조성된 이국적인 거리이며, 이 거리에 공방, 음악 등이 자리를 잡으며 세계의 다양한 볼거리, 즐길거리, 먹을거리가 있는 특화거리입니다.",경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4,37.91584703,127.0565068,1200.0,228,1997,031-860-2727,경기도 동두천시청 관광휴양과,2024-08-28,3920000,경기도 동두천시
캠프보산월드푸드스트리트,보산동 외국인 관광특구의 경제 활성화를 위하여 동두천시와 경기문화재단이 협업하여 다양한 세계음식을 체험할 수 있는 음식문화 거리입니다.,경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4,37.91584703,127.0565068,150.0,15,2020,031-860-2275,경기도 동두천시청 관광휴양과,2024-08-28,3920000,경기도 동두천시
소설 태백산맥 문학기행길,"소설 태백산맥의 배경지인 벌교읍 소재지를 무대로 소설 속 등장하는 적산가옥, 중도방죽 등으로 구성된 문학기행 길",전라남도 보성군 벌교읍 태백산맥길,전라남도 보성군 벌교읍 벌교리 640-2,34.843846,127.3432884,8000.0,13,2012,061-850-5211,전라남도 보성군청 문화관광과,2024-08-28,4890000,전라남도 보성군
향토음식거리,단양 향토음식(쏘가리) 특화 거리,충청북도 단양군 단양읍 수변로 111,충청북도 단양군 단양읍 별곡리 569-1,36.98541064,128.3707519,1.0,10,2010,043-420-3322,충청북도 단양군 보건소,2024-08-22,4480000,충청북도 단양군
함양건강100세음식지구,상림공원 주변 조성된 음식지구로 지역농산물을 활용한 건강한 음식을 손님들에게 서비스 함,경상남도 함양군 함양읍 필봉산길 49,경상남도 함양군 함양읍 교산리 1069-4,35.523709,127.7218596569,1100.0,17,2012,055-960-8332,경상남도 함양군청,2024-08-26,5460000,경상남도 함양군
지리산마천흑돼지촌 음식특화거리,마천면 일원 조성된 흑돼지전문점 음식지구로 지리산 흑돼지를 활용한 건강한 음식을 손님들에게 서비스 함,경상남도 함양군 마천면 당흥길 15,경상남도 함양군 마천면 가흥리 504-1,35.396929847,127.6630734,300.0,11,2021,055-960-8332,경상남도 함양군청,2024-08-26,5460000,경상남도 함양군
유엔참전기념거리,유엔평화문화특구 내 테마거리,부산광역시 남구 유엔평화로,부산광역시 남구 대연동 948-25,,,5040.0,100,2010,051-607-3604,부산광역시 남구청,2024-08-21,3310000,부산광역시 남구
음식특화거리,완도를 대표하는 음식점이 모여있는 거리로 주로 생선회 및 전복요리를 판매하고 있으며 완도를 찾은 관광객이 가장 많이 방문하는 음식특화거리임,전라남도 완도군 완도읍 해변공원로 124번길,,34.324519,126.748446,312.0,25,2003,061-550-5442,전라남도 완도군청,2024-08-14,4990000,전라남도 완도군
영광 법성포 굴비거리,굴비 식당과 판매점이 있는 거리,전라남도 영광군 법성면 굴비로,,35.359484,126.445767,2600.0,352,2021,061-350-5428,전라남도 영광군청,2024-08-16,4970000,전라남도 영광군
독산성 음식문화거리,경기옛길삼남길7코스인 독산성자락 주변 둘레길을 따라 40여곳의 다양한 맛집거리,경기도 오산시 독산성길,경기도 오산시 지곶동 277-1,37.17729832,127.0244593,3000.0,53,2013,031-8036-6824,경기도 오산시청,2024-07-31,4000000,경기도 오산시
교동귀금속골목,"1970년 대구역 남편 교동시장을 중심으로 한 시계매장들로부터 시작되었습니다. 하나 둘 모여든 업체는 당시 인기품목이었던 시계의 판매수리와 중고제품 판매를 중심으로 상권을 형성하였고, 1970년대 중반부터는 순금, 18K 공장들이 하나씩 자리잡기 시작하여 1980년대에 이르러서는 귀금속거리로 면모를 갖추기 시작하였습니다. 현대화된 시설과 전문화된 상품을 갖추어 대구 귀금속 도·소매상가로 형성되어 현재 300여개의 업체가 영업중입니다. 2005년 패션주얼리특구 지정에 이어 2011년에는 패션주얼리 전문타운이 개관함으로써 주얼리 산업의 메카로 떠오르고 있습니다.",대구광역시 중구 교동1길,대구광역시 중구 용덕동 1-12,35.8740268665,128.597391228,180.0,300,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
광명패션문화의 거리,패션유통업체밀집지역 (총 330M 길이에 50개소 점포가 있으며 다양한 패션 아이템을 쇼핑할 수 있는 장소),경기도 광명시 오리로,경기도 광명시 광명동 158-526,37.4784296568,126.8546627547,330.0,54,2000,02-2687-5578,경기도 광명시 패션유통사업협동조합,2022-09-29,3900000,경기도 광명시
광명가구문화의 거리,가구유통업체밀집지역 (총 960M 길이에 30여개 가구점이 위치하고 있으며 필요한 가구를 비교하며 구매할 수 있고 전시장을 언제나 이용하며 소핑할 수 있다.),경기도 광명시 광명로,경기도 광명시 광명동 101-2,37.48267671,126.8556574,960.0,27,1998,02-2066-8848,경기도 광명시 가구유통사업협동조합,2022-09-29,3900000,경기도 광명시
밤일 음식문화의 거리,"밤일마을의 유례는 밤나무가 많고 해가 잘 들어서 살기 좋은 마을로 전해지며 맛있고 정갈한 식당이 많은 곳으로 2013.03.26. 광명시 최초로 경기도 음식문화개선 특화거리로 지정 된 거리 입니다.총 점포수는 60여개로 1,500M에 걸쳐 있으며 음식문화를 선도하는 거리",경기도 광명시 밤일로,경기도 광명시 하안동 839-4,37.45191125,126.8648501,1500.0,60,2013,02-2680-5484,경기도 광명시청 위생과,2022-09-29,3900000,경기도 광명시
광명음식문화의거리,"광명사거리역을 중심으로 지하철 유동인구와 재래시장, 패션,가구 거리와 인접하고 대형마트, 영화관도 인접해 있어서 젊은층과 지역 주민들이 골고루 이용하는 상권으로 구도심의 먹거리 중심 상권",경기도 광명시 오리로,경기도 광명시 광명동 158-976,37.4794139605,126.8537474488,120.0,46,2021,02-2680-5484,경기도 광명시청 위생과,2022-09-29,3900000,경기도 광명시
서동공원(궁남지 부근) 음식특화거리,서동공원(궁남지)의 연꽃단지를 기반으로 관광산업과 연계하여 시설환경 정비 등 서비스 수준향상을 통한 음식점 특화 거리 육성,충청남도 부여군 궁남로,,36.275195,126.912697,850.0,42,2015,041-830-2573,부여군농업기술센터,2023-12-04,4570000,충청남도 부여군
볼래로 문화거리,"볼래로’라는 이름은 한글 보다의 ‘볼’, 한자 오다의 ‘來’, 한자 거리의 ‘路’의 합성어로 “즐겨볼래? 찍어볼래? 춤춰볼래? 놀아볼래?” 등 오감을 만족시키는 문화거리를 표현한 이름, 진주시 가좌동 일원(경상국립대학교 정문 ~ 개양오거리)의 가좌천변 약 800미터 구간에 예술, 문화, 젊음과 낭만이 있는, 세대간, 지역간 시민 모두가 함께 어울릴 수 있는 문화소통 공간 조성을 목적으로 2019년 조성된 문화거리",경상남도 진주시 진주대로,"경상남도 진주시 가좌동 912-1,506-8",35.1528010354,128.1048432452,800.0,0,2020,055-749-8595,경상남도 진주시청,2024-08-08,5310000,경상남도 진주시
가로수길,"진주시 중안동 · 인사동 일원(진주경찰서 사거리 ~ 진주교육지원청 ~ 진주초등학교) 약 500미터 구간에 도심 기반시설 노후화에 따른 원도심 활성화를 목적으로 2020년 조성된 문화거리로서, 플라타너스 가로수와 함께 아기자기한 카페, 소품점 등이 소소하게 어우러져 편안함과 생동감을 느낄 수 있는 거리",경상남도 진주시 비봉로,경상남도 진주시 중안동 17,35.1935970141,128.0808984008,300.0,39,2020,055-749-8595,경상남도 진주시청,2024-08-08,5310000,경상남도 진주시
교동전자골목,"교동시장 내 핵심상가로서 (구)동성로파출소에서 신한은행(대구중앙지점)으로 이어지는 골목을 중심으로  전자제품 판매업소가 즐비하게 들어서 있습니다. 이 곳에서는 컴퓨터와 주변기기, 그리고 텔레비전, 오디오 등의 영상,음향기기 등 각종 전기전자제품을 저렴한 가격에 판매하고 있어 일반시민들이 많이 찾고 있습니다. 또한 인근에는 오래된 분식점이 많이 있어서 먹을거리의 추억을 되살릴 수 있습니다.",대구광역시 중구 교동4길,대구광역시 중구 교동 79-1,35.87348496,128.5994525,260.0,127,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
남산인쇄골목,남산동 남문시장에서 계산오거리까지의 500여미터 남짓한 거리에는 각종 인쇄소와 기획사가 빽빽히 밀집해 있습니다. 인쇄골목은 1980년대초부터 서서히 형성되기 시작하여 1990년대 들어 급속한 팽창을 보였으며 현재 500여개의 업체가 영업중에 있습니다.,대구광역시 중구 명륜로6길 7-24,대구광역시 중구 남산동 247-12,35.86370997,128.5886655,500.0,520,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
남산자동차부속골목,"1968년경부터 명덕네거리 주변에 자동차 중고 부속상이 생겨나서 부속품판매 및 자동차수리를 하였으며 1978년 도로가 확장 개통되면서 남문시장에서 명덕네거리 일원의 골목을 중심으로 자동차 관련 점포들이 모여들어 오늘날의 상가가 형성되었습니다. 현재는 80여개의 업소가 오디오, 타이어, 에어컨, 시트커버, 썬팅, 기타 자동차부속품 판매와 자동차 수리를 하고 있어 자동차에 대한 원스톱서비스가 가능한 곳이라 할 수 있습니다. 2010년부터 매년 스트리트 모터 페스티벌이 개최되고 있으며 축제기간 중에는 세계의 명차들을 한 자리에서 만날 수 있습니다.",대구광역시 중구 명덕로35길 70,대구광역시 중구 남산동 596-7,35.85975833,128.5893663,550.0,88,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
대신미싱골목,1970년대 서문시장과 달성공원 사이 황폐한 골목으로 지가가 싸서 임대료 부담이 적어 일부 사업자가 이주하여 영업해 왔으며 1980년대부터 한집 두집 모이기 시작하여 1980~90년대에는 섬유경기활황과 어울려 전성기를 이루었습니다. 현재는 40여 업소가 영업 중에 있습니다.,대구광역시 중구 국채보상로93길 35,대구광역시 중구 대신동 64-25,35.87190056,128.5807448,200.0,49,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
대신양말골목,1980년대 원일상회 박정원씨가 최초로 양말소매상을 경영하였고 그 후부터 상인들이 모이기 시작하여 현재의 양말골목으로 형성되어 왔습니다. 계성초등학교 입구의 좁은 골목 양쪽으로 영업하고 있는 이 업소들은 다양한 양말을 저렴한 가격으로 판매하고 있습니다.,대구광역시 중구 달구벌대로 1991-11,대구광역시 중구 대신동 993,35.86587179,128.5820698,260.0,23,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
덕산떡전골목,"1940년경 염매시장에서 물물교환 등 노점시장으로 시작하여 6.25동란 이후 피난민들이 모여들면서 골목이 형성되었으며 처음에는 인근 상인들을 대상으로 한 떡행상으로 출발하였으나, 현재에는 혼수용/제수용 등 전문떡집 10여 업소가 영업중에 있습니다.",대구광역시 중구 종로,대구광역시 중구 계산동2가 263-5,35.86654706,128.592278,260.0,7,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
동인찜갈비골목,"1960년대 중반 현 동인동 골목일대에 술안주와 식사용으로 소갈비에 마늘과 고춧가루를 넣어 연탄불에 양재기로 찜을 해 요리하는 것이 점차 호응을 얻어 한집 두집 개업하고 확장하여 현재의 찜갈비 골목으로 자리매김 하였습니다. 동인동 찜갈비는 대구 특유의 매운맛이 살아있는 전통 음식이기도 합니다. 2003 대구하계유니버시아드 대회 이후 더욱 널리 알려지면서, 현재 전국 각지에서 동인동 찜갈비를 맛보기 위해 대구를 찾는 발걸음이 늘고 있습니다. 갈비하면 일반적으로 간장 양념을 떠올리게 되는데, 동인동찜갈비의 특징은 고춧가루와 마늘을 이용하여 매콤 달콤한 붉은 양념으로 소비자의 입맛을 신선하게 자극하는 것입니다. 질기지 않고 부드럽게 씹히는 고기맛과 마지막 남은 양념에 비벼먹는 밥맛이 일품입니다. 동인동찜갈비만의 매력은 찜갈비를 담는 용기에서도 찾아볼 수 있습니다. 현대인들에게 익숙한 세련된 용기 대신 6,70년대에 쓰던 노란색 찌그러진 양은 그릇이 밥상 위에 올라오는데, 이는 먹는 재미와 동시에 구수한 고향냄새까지 느낄 수 있으며 빠른시간에 조리가 되어 신선도가 좋은 찜갈비로 내·외국인 모두에게 각광받고 있는 음식으로 자리매김 하였습니다. 마늘과 생강 범벅인 양념을 처음 본 외지인들은 지레 겁을 먹지만, 한번 맛본 사람들은 그 특유의 맛에 빠져들어 다시 찾게 되는 음식입니다. 느끼하지 않고 칼칼하고 개운한 맛으로 현재 대구 맛의 명소로 자리 잡았으며 매출액의 일부를 정기적으로 기부하여 「착한골목 1호」로 지정되었습니다.",대구광역시 중구 동덕로36길 9-17,대구광역시 중구 동인동1가 297-2,35.87123339,128.6049435,90.0,9,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
봉산문화거리,"봉산문화거리는 서울 인사동거리에 비견되는 대구의 대표적인 문화예술거리입니다. 1980년대 중반부터 형성되기 시작한 이 거리는 현재 50여개의 화랑, 화방, 골동품점, 표구사 등이 들어서 있습니다. 초기에는 미술관련재료 판매, 표구 제작, 동양화 판매 위주였으나, 현재는 여러 화랑에서 다양한 미술작품을 전시,판매도 하고 있어서, 대구를 대표하는 화가들의 작품들을 이곳에서 구경할 수 있습니다. 대구시민의 문화적 욕구를 충족시키기 위해 매년 4월에는 봉산공예디자인전이 개최되고, 10월에는 봉산미술제가 개최되고 있습니다. 또한 2004년에는 봉산문화회관 바로가기 이 건립되어 각종 전시회 및 공연을 개최하여 봉산문화거리 활성화에 노력하고 있습니다.",대구광역시 중구 봉산문화길 49,대구광역시 중구 봉산동 225-5,35.86212205,128.5975199,630.0,92,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
북성공구골목,"국산공구가 생산되지 않던 1947년경 지금의 인교동 달성공원 입구 골목(당시 푸른다리)에서 미군부대로부터 불하된 폐공구를 수집하던 11명이 영업을 시작하게 된 것이 시초가 되었고, 기계공업의 발달로 관련업소가 계속 늘어나 집단상가를 이루면서 오늘날의 공구골목이 형성되었습니다. 현재 400여개의 업체가 각종 산업용 공구를 판매하고 있으며 공구골목의 역사와 애환을 담은 북성로공구박물관이 개관되었습니다.",대구광역시 중구 북성로 65-2,대구광역시 중구 북성로2가 61,35.87406657,128.5901068,1150.0,420,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
