거리명,거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정연도,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
약전골목,"남성로 중앙치안센터 맞은편에는 170여개의 한약방과 한의원이 즐비하게 늘어서 있습니다. 도로를 따라 600여미터나 이어지는 이 약전골목은 조선시대(효종9년,1658년)에 개설된 약령시에 기원을 두고 있습니다. 대구는 약재의 본산지인 경상도를 배후에 두고 낙동강을 통한 운송도 수월하여 약령시가 자연스럽게 형성되었습니다. 조선시대 대구 약령시는 약재 수확기인 봄, 가을에 맞추어 한해에 두 번씩 열렸는데 성시를 이룰 때는 대구인구보다 약령시 출시자가 많을 정도였다고 합니다. 그러나 서양의 양약이 보급되고 일제의 탄압정책이 가중되면서 약령시는 점차 쇠퇴의 길로 들어서고 현재 자리에 약전골목이 조성되어 맥을 잇고 있습니다. 근래 들어 한약에 대한 일반인의 관심이 높아지면서 약전골목은 옛 명성을 회복하고 있고, 매년 5월의 약령시축제와 2003년 한방특구 지정, 약령시한의약박물관 건립으로 새롭게 활기를 띄고 있습니다. 약령시회관 2층의 약령시전시관에서는 인삼,산삼,녹용,해마 등 각종 한약재를 비롯하여 [동의보감], [동의수세보원] 등의 한의서와 약연, 약작두 등의 한방기구 등 한방관련용품 300여 점이 전시되어 있습니다.",대구광역시 중구 남성로 25,대구광역시 중구 남성로 51-6,35.86807041,128.5897262,630.0,183,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
인교동오토바이골목,"이 곳은 본래 하천이 흐르던 지역이었으나 1953년 하천이 복개되고 1961년 인교동 154번지 서울오토바이상회를 시작으로 오토바이 관련상가가 밀집되면서 오늘날의 오토바이골목이 형성 되었습니다. 서울, 대전의 오토바이상가와 함께 전국의 대표적인 오토바이골목으로 현재 60여개 관련 업소가 영업 중에 있으며, 저렴한 가격으로 다양한 오토바이를 판매하고 있어서 많은 사람들이 찾고 있습니다.",대구광역시 중구 서성로13길 64,대구광역시 중구 시장북로 20-2,35.87198956,128.5837897,450.0,55,2011,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
종로· 진골목,"종루 앞에 직선으로 뻗은 길을 종로라고 했는데 과거 영남제일관에서 포정문까지 이르는 거리를 말합니다. 구한말부터 화교들이 정착하기 시작했으며 대구에서 최초로 가구상들이 밀집했던 곳이기도 합니다. 현재는 남성로 네거리를 중심으로 전통차, 다기세트, 한방, 골동품상들이 모여 전통물품 판매 상권을 형성하고 있습니다. 경상도 말로 ‘길다’에서 기원하는 진골목은 조선시대부터 이어져 왔으며 근대 초기 부자들이 사는 동네로 유명했습니다. 근대 문화재와 전통한옥들이 많이 남아있으며 미도다방, 정소아과의원, 진골목식당 등 훌륭한 풍경과 먹거리들이 어우러진 보행 관광지로 자리잡고 있으며 또한 나눔을 실천하는 「착한골목 4호」로 지정되기도 하였습니다.",대구광역시 중구 진골목길,대구광역시 중구 종로2가 60-1,35.86828328,128.5928999716,600.0,110,2012,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
담빛길,"과거 죽물시장에서부터 시작된 죽공예의 전통문화유산, 관방천과 대숲이 어우러지는 생태문화가 공존되어 있는 담양의 원도심 구간",전라남도 담양군 담양읍 객사3길 1,전라남도 담양군 담양읍 객사리 194-3,35.3231512206,126.9814434138,1000.0,20,2016,061-380-2802,전라남도 담양군청,2022-09-30,4850000,전라남도 담양군
울주 언양봉계 한우불고기특구,한우불고기 판매 점포,울산광역시 울주군 언양읍 헌양길,,,,2000.0,26,2006,052-204-1624,울산광역시 울주군청,2023-11-02,3730000,울산광역시 울주군
울주 언양봉계 한우불고기특구,한우불고기 판매 점포,울산광역시 울주군 두동면 계명1길,,,,500.0,12,2006,052-204-1624,울산광역시 울주군청,2023-11-02,3730000,울산광역시 울주군
보수동책방골목거리,6.25피난시절 자연발생한국내 유일의 헌책방 테마거리,부산광역시 중구 책방골목길 8,,35.103456,129.026533,350.0,50,2009,051-600-4062,부산광역시 중구청,2024-08-12,3250000,부산광역시 중구
엔터테이너 거리,광복동+남포동 뒷골목 문화예술인들의 스토리와 엔터테이너들의 추억담을 들을 수 있는 테마거리,부산광역시 중구 남포길/구덕로14번길,,35.098512,129.032231,630.0,100,2017,051-600-4086,부산광역시 중구청,2024-08-12,3250000,부산광역시 중구
꽃바위 외국인 특화거리,"내국인 및 외국인의 자연스러운 방문과 활발한 문화교류의 글로벌 문화거리를 조성하고, 체계적인 가로정비를 통해 안전하고 쾌적한 거리를 조성하여 질높은 관광체험 제공 및 체류시간 연장으로 지역경제 활성화 유도",울산광역시 동구 남진길 52,울산광역시 동구 방어동 1146-33번지,35.480919,129.416137,1300.0,43,2016,052-209-3368,울산광역시 동구청,2024-08-12,3710000,울산광역시 동구
방어진 근대역사거리,"방어진의 생활 중심 변천사를 오래된 가게와 건물, 방어진역사관을 통하여 체험할 수 있는 거리",울산광역시 동구 동진5길 71,울산광역시 동구 방어동 175-6,35.48469222,129.4296634,700.0,42,2021,052-209-3873,울산광역시 동구청,2024-08-12,3710000,울산광역시 동구
이천동고미술거리,"1960년대부터 형성된 문화유산매매업소가 모여있는 곳으로 과거 우리선인들이 사용한 민속품,도자기,고가구를 많이 보유하고 있고,현대인에게 생소한 조상들의 생필품들이 가득하여 구경하는 재미가 쏠쏠하다. 외국인에게 인기가 많으며 특히,일본인은 지도와 정보를 입수하여 찾아온다고 한다. 외국인에게 많은 사랑을 받으며 경외감을 주는 우리 고미술품에 우리나라사람들의 관심과 사랑이 어느때보다 필요하다. 고미술품에 관심이 있다면 꼭 한번 방문할 만한 관광지로 추천한다.",대구광역시 남구 이천로32길,대구광역시 남구 이천동 399-3번지,,,800.0,23,2008,053-664-3252,대구광역시 남구청,2024-08-01,3440000,대구광역시 남구
대명공연거리,소극장 등 공연단체를 중심으로 형성된 공연 거리,"대구광역시 남구 명덕로, 현충로, 계명중앙1길",대구광역시 남구 대명3동,,,500.0,35,2010,053-664-3264,대구광역시 남구청,2024-08-01,3440000,대구광역시 남구
앞산카페거리,"일반주택들을 커피숍으로 리모델링 되어 형성된 대구광역시 남구 대명9동 일대를 앞산카페거리라 한다이곳에는 갤러리카페, 양옥집을 개조한 이탈리아 레스토랑 등 약50여개의 다양하고 매력적인 공간들이 즐비해 도심속의 이국적인 분위기를 연출한다또한 흐트러지게핀 벚꽃과, 이팝나무의 새하얀 꽃을 보며 봄의 정취를, 여름엔 앞산에서 불어오는 시원한 바람이, 가을에는 가로수들 사이로 떨어지는 은행잎을 밟으며 가을 낭만도 한껏 느낄수 있고, 겨울앤 앙상한 가지에 수천개가 넘는 꼬마전구의 화려한 빛의 향연을 볼 수 있다",대구광역시 남구 현충로 13~50 및 대명남로 157~193 일대,,,,1000.0,66,2010,053-664-2762,대구광역시 남구청,2024-08-01,3440000,대구광역시 남구
안지랑곱창골목,"안지랑 오거리에서 앞산 안지랑골로 통하는 길 중간에 형성된 안지랑 시장은 화려한 명성을 뒤로 하고 최근 양념 곱창집이 들어차 새로운 활력이 되고 있다. 1979년 경 안지랑 시장 쪽에 충북식당을 시작으로 1998년 IMF이후 생계유지 업소가 늘어나기 시작해 오늘에 이르렀다. 서민들이 부담없이 즐길수 있는 휴식처이자 최근엔 젊은층이 주도하는 젊음의 거리로 발전하였으며, 2012년도 전국5대 음식테마거리, 2015 한국관광100선에 선정되는 등 남구대표 맛거리로 전국은 물론 해외관광객들이 자주 찾는 명소이다",대구광역시 남구 대명로 36길 일대,,,,500.0,70,2011,053-664-2762,대구광역시 남구청,2024-08-01,3440000,대구광역시 남구
할랄음식문화거리,"예전의 모습 그대로 유지하면서 다양한 공방들과 수제품 및 샵들이 예쁘게 들어서기 시작했으며, 할랄음식 문화거리가 무슬림 관광객은 물론 할랄 음식을 찾는 관광객들이나 새로운 경험을 원하는 관광객들에게도 편의를 제공할 수 있다.",서울특별시 용산구 우사단로10길 23,서울특별시 용산구 이태원동 137-62,37.5333003,126.996914,485.0,96,2020,02-2199-6114,서울특별시 용산구청,2024-07-25,3020000,서울특별시 용산구
한남동카페거리,서울 용산구 한남동 카페거리가 가로수길과 명동을 뛰어넘는 신흥 쇼핑 성지로 변모했다. 대사관과 고급 주택만 있어 조용하던 부촌에 문화 시설을 시작으로 식당·카페들이 들어서자 사람이 몰리고 생기가 돌기 시작했다. 명품 패션·뷰티 브랜드도 한남동을 주목할 수밖에 없게 되면서 하나둘씩 모여들었다. 2004년 미술관 리움에 이어 2011년 뮤지컬 전용 극장 블루스퀘어가 들어서면서 전시와 공연을 보러 오는 사람들이 생기자 골목마다 카페가 생겨나 ‘한남동 카페거리’가 형성됐다.,서울특별시 용산구 이태원로54길 32,서울특별시 용산구 한남동 683-8,37.537044,127.001745,550.0,45,2020,02-2199-6114,서울특별시 용산구청,2024-07-25,3020000,서울특별시 용산구
함평천지 한우비빔밥 음식테마거리,1900년 초부터 함평 우시장을 중심으로 발달해 온 한우비빔밥을 주메뉴로 한 식당이 밀집되어 있는 거리,전라남도 함평군 함평읍 시장길(5일시장 내),,,,420.0,14,2014,061-320-1641,전라남도 함평군청,2024-07-30,4960000,전라남도 함평군
서문가구특화거리,다양한 브랜드의 가구판매장과. 주문제작공장. 가구수리점 등이 자리잡고 있는 도내 최대의 가구상권거리이다.,제주특별자치도 제주시 서문로 38-1,,33.5105169,126.5155358,250.0,23,2014,064-710-3078,제주특별자치도 소상공인과,2024-07-30,6500000,제주특별자치도
천지동 아랑조을거리,아랑조을거리는 알아서 좋을 거리 라는 뜻의 제주어로. 2013년 농림축산식품부 지정 우수외식업지구에 포함된 맛집특화거리이다.,제주특별자치도 서귀포시 중앙로 47번길 10,,33.2487319,126.5606428,700.0,63,2005,064-710-3078,제주특별자치도 소상공인과,2024-07-30,6500000,제주특별자치도
명동로/이중섭거리,많은 작품을 남긴 비운의 천재 이중섭 화백의 기념 미술관이 있는 거리이다.,제주특별자치도 서귀포시 명동로 19,,33.2474463,126.5639289,1000.0,200,1996,064-710-3078,제주특별자치도 소상공인과,2024-07-30,6500000,제주특별자치도
방어축제거리,국토 최남단 방어축제특화거리는 맑고 깨끗한 모슬포 지역에서 생산되는 농산물과 마라도. 가파도 청정해역에서 잡히는 자연산 활어와 해산물을 사계절 내내 만날 수 있는 거리이다.,제주특별자치도 서귀포시 대정읍 신영로72번길 14,,33.2197338,126.2511799,250.0,47,2011,064-710-3078,제주특별자치도 소상공인과,2024-07-30,6500000,제주특별자치도
흑돼지거리,30년의 오랜 전통을 자랑하고 있는 제주별미 흑돼지거리로. 인근에는 동문시장. 칠성로상점가 등이 있어 관광객들에게 인기가 많은 곳이다.,제주특별자치도 제주시 관덕로15길 26,,33.5155238,126.526964,200.0,9,2009,064-710-3078,제주특별자치도 소상공인과,2024-07-30,6500000,제주특별자치도
칠십리음식특화거리,서귀포의 칠십리 해안을 따라 조성된 음식특화거리로서. 청정 제주 바닷가에서 갓 낚아 올린 싱싱한 재료로 만든 제주의 향토음식을 만나 볼 수 있는 곳이다.,제주특별자치도 서귀포시 칠십리로 119,,33.2427423,126.5673082,1700.0,38,2008,064-710-3078,제주특별자치도 소상공인과,2024-07-30,6500000,제주특별자치도
국수문화거리,국수문화거리는 제주의 전통음식인 고기국수를 맛볼수 있는 특색있는 음식특화거리로서. 도민 및 관광객들에 오랫동안 사랑받아온 곳이다.,제주특별자치도 제주시 신산로 91,,33.5058163,126.535489,1000.0,9,2009,064-710-3078,제주특별자치도 소상공인과,2024-07-30,6500000,제주특별자치도
누웨마루거리,제주의 관문이자 글로벌 관광명소인 연동에 위치한 차 없는 거리로 다양한 문화컨텐츠와 연계한 쇼핑특화거리이다.,제주특별자치도 제주시 연동7길 31,,33.4870442,126.4908404,450.0,148,2009,064-710-3078,제주특별자치도 소상공인과,2024-07-30,6500000,제주특별자치도
서부두 명품횟집거리,제주도에서 가장 오래된 횟집거리로서. 공항에서 15분거리에 위치하여 접근이 용이하며 사시사철 신선한 횟감과 친절한 상인들을 만날수 있는 곳이다.,제주특별자치도 제주시 서부두길 16,,33.5176714,126.528338,250.0,16,2008,064-710-3078,제주특별자치도 소상공인과,2024-07-30,6500000,제주특별자치도
익산문화예술의거리,익산시 구도심 일원 KTX역세권과 연계한 주거문화상업 아트지구,전북특별자치도 익산시 중앙로(중앙동2가),전북특별자치도 익산시 중앙동2가 45,35.938749,126.948131,300.0,79,2012,063-859-5826,전북특별자치도 익산시청 문화관광산업과,2024-07-26,4681000,전북특별자치도 익산시
진평음식문화특화거리,젊은층의 독특한 문화와 음식이 있는 거리 조성으로 관광 인프라 및 지역경제 활성화기여,경상북도 구미시 인동28길 20 일원,경상북도 구미시 진평동 79-4,36.0948752,128.4278241,520.0,48,2015,054-480-5492,경상북도 구미시청,2024-06-30,5080000,경상북도 구미시
이태원길,지역 상업지구 주변을 문화와 감성의 예술거리 브랜드화하여 새로운 젊음의 거리를 통한 지역경제 활성화,대구광역시 북구 동천로 129-16(일원),대구광역시 북구 동천동 903-2(일원),35.94356443,128.559157,720.0,260,2019,053-665-4322,대구광역시 북구청,2024-07-19,3450000,대구광역시 북구
라온제나,금강하구언 강가에 카페와 레스토랑 횟집이 밀집되어 있는 음식문화 특화단지임,충청남도 서천군 장항읍 장산로,충청남도 서천군 마서면 당선리 93-4,36.00550921,126.732254,1400.0,30,2012,041-950-4079,충청남도 서천군,2024-07-09,4580000,충청남도 서천군
중리동 가구특화거리,가정.사무용 가구 소매업,대전광역시 대덕구 한밭대로,,36.359634,127.431518,200.0,35,2000,042-608-4523,대전광역시 대덕구청,2024-06-10,3680000,대전광역시 대덕구
법동 음식특화거리,요식업 위주의 식당 밀집지역,대전광역시 대덕구 계족산로 5번길,,36.365867,127.430762,300.0,153,2008,042-608-4523,대전광역시 대덕구청,2024-06-10,3680000,대전광역시 대덕구
목상동 음식특화거리,요식업 위주의 식당 밀집지역,대전광역시 대덕구 대덕대로 1470번길,,36.448438,127.411387,600.0,64,2013,042-608-4523,대전광역시 대덕구청,2024-06-10,3680000,대전광역시 대덕구
중리행복길 특화거리,요식업 위주의 식당 밀집지역,대전광역시 대덕구 중리남로 1~중리남로 58,,,,500.0,154,2019,042-608-4523,대전광역시 대덕구청,2024-06-10,3680000,대전광역시 대덕구
신탄진 새시장특화거리,요식업 위주의 식당 밀집지역,대전광역시 대덕구 신탄진동로 23번길,,,,250.0,50,2020,042-608-4523,대전광역시 대덕구청,2024-06-10,3680000,대전광역시 대덕구
꿈안전어울림꽃피는 여성친화 골목길,태안군 태안읍 동문2·4리에 위치한 대지길은 태안중학교 후문에서 시작해 터널길까지 약0.3km정도로 등하교를 하는 학생 뿐만 아니라 시내에 인접하여 마을 주민들도 많이 이용하는 거리로서  꽃과 함께 청소년 쉼터 테마거리로 조성하여 ① 청년층에게 새로운 문화의 장으로 ② 중장년층에는 옛시절 향수를 불러일으킬 수 있는 거리로 ▲ 모든 세대가 서로 공감하며 소통할 수 있는 문화공간,충청남도 태안군 태안읍 대지길 34,충청남도 태안군 태안읍 동문리 839-3,36.75458976,126.299535,260.0,60,2016,041-670-2313,충청남도 태안군청,2024-07-03,4620000,충청남도 태안군
행복로 문화의거리,"의정부시의 구도심지역의 교통체계를 개선하고, 시민의 여가공간 확보와 젊음이 넘치는 거리 조성",경기도 의정부시 행복로,경기도 의정부시 의정부동 180-11,37.73924561,127.0475838,607.0,300,2009,031-828-2963,경기도 의정부시 기업경제과,2024-06-30,3820000,경기도 의정부시
젊음의 거리,골목에서 풍기는 매력적인 자원들을 이용하여 편안하게 걷고 휴식하며 자기를 표현할 수 있는 문화공간의 가교 역할,경기도 안성시 대천동 80번지 일원,,,,500.0,150,2012,031-678-2492,안성시 문화관광과,2023-06-27,4080000,경기도 안성시
공도 걷고 싶은 거리,상점 이용뿐 만이 아닌 NEW WAVE센터를 중심으로 목공예+소믈리에 과정 등 다양한 체험활동이 가능함,경기도 안성시 공도읍 승두3길 7-7,,,,500.0,118,2011,031-678-2492,안성시 문화관광과,2023-06-27,4080000,경기도 안성시
안성맞춤먹거리타운,아파트 단지와 대학교 사이에 자리잡고 있어 젊은층이 좋아하는 호프집+선술집 및 퓨전 프렌차이즈 음식점과 직장인이 회식하기 용이한 고기구이집이 주를 이룸,경기도 안성시 한경대후문 일원,,,,500.0,50,2008,031-678-2492,안성시 문화관광과,2023-06-27,4080000,경기도 안성시
미사문화거리,미사역 일원 문화의 거리,,경기도 하남시 망월동 1101 + 경기도 하남시 망월동 1128,37.562956,127.192315,660.0,300,2022,031-5182-1466,경기도 하남시청 문화정책과,2023-12-01,4040000,경기도 하남시
향촌동 수제화골목,"과거 향촌동 일대는 예술인들이 즐겨찾는 문화의 거리였습니다. 1970년대부터 수제화공장 및 전문점이 하나둘씩 들어서 1980년대 본격적으로 수제화 골목으로 불리기 시작했습니다. 현재 향촌동 점포 및 공장, 재료상, 구두수리점이 모여 있으며, 디자인, 재단, 미싱, 신발바닥 등 수제화 기술분야의 장인들이 순수 100프로 가죽 수제화를 생산하고 있습니다. 생산된 제품은 전국으로 납품하고 있습니다.",대구광역시 중구 서성로14길 78,대구광역시 중구 대안동 19-3,35.87285539,128.5918285,300.0,58,2012,053-661-2643,대구광역시 중구청,2024-08-08,3410000,대구광역시 중구
더리미장어마을,지역 특색을 살린 음식 개발 육성하고 및 보급의 확산을 통하여 지역경제 발전 이바지,인천광역시 강화군 선원면 신정리일원,,37.726852,126.507941,200.0,5,2000,032-930-3832,인천광역시 강화군청,2024-08-13,3570000,인천광역시 강화군
선수벤댕이마을,지역 특색을 살린 음식 개발 육성하고 및 보급의 확산을 통하여 지역경제 발전 이바지,인천광역시 강화군 화도면 내리일원,,37.632067,126.396256,300.0,21,2009,032-930-3832,인천광역시 강화군청,2024-08-13,3570000,인천광역시 강화군
외포리꽃게마을,지역 특색을 살린 음식 개발 육성하고 및 보급의 확산을 통하여 지역경제 발전 이바지,인천광역시 강화군 내가면 외포리일원,,37.706041,126.380544,2000.0,8,2012,032-930-3832,인천광역시 강화군청,2024-08-13,3570000,인천광역시 강화군
강화별밤거리,지역 특색을 살린 음식 개발 육성하고 및 보급의 확산을 통하여 지역경제 발전 이바지,인천광역시 강화군 강화읍 관청리 일원,,37.752368,126.481831,300.0,27,2017,032-930-3832,인천광역시 강화군청,2024-08-13,3570000,인천광역시 강화군
복수 한우음식특화거리,"한우만을 취급하는 한우 전문 식당거리 조성, 산과 강이 어우려진 자연환경과 조화를 이룬 한우전문 외식거리, 정육점과 음식점의 공동운영으로 저렴한 가격으로 최상의 한우 제공, 한우 전문 음식점 23개소",충청남도 금산군 복수면 복수로,,,,11900.0,8,2009,041-750-2534,충청남도 금산군청,2024-08-13,4550000,충청남도 금산군
추부 추어탕거리,"하늘이 준 건강선물 인삼과 추어탕이 어우려진 인삼추어탕거리 조성, 추어탕 전문식당 밀집으로 다양하고 고유한 전통추어탕의 맛을 취향, 별로 선택하여 맛볼 수 있는 전문 추어탕거리, 추어탕 전문 음식점 23개소",충청남도 금산군 추부면 마전로,,,,2000.0,19,2009,041-750-2534,충청남도 금산군청,2024-08-13,4550000,충청남도 금산군
금강변 민물어죽마을,"금산 상류 청정지역에서 자란 민물고기로 요리한 전문 어죽마을, 산과 강이 어우러진 천혜의 자연환경과 어우러져 최상의 휴양 명소로 자리잡은 원골에 민물 전문 음식마을 조성, 민물 · 어죽 및 매운탕 전문음식점 28개소",충청남도 금산군 제원면 금강로,,,,4700.0,25,2009,041-750-2534,충청남도 금산군청,2024-08-13,4550000,충청남도 금산군
청도추어탕거리,"물이 맑기로 유명한 청도의 그 동맥인 청도천, 동창천에서 자생하는 황동어, 꺽지, 메기 등 잡어와 미꾸라지를 섞어 조리하는 웰빙 향토음식점들이  40년~50년의 역사를 자랑하며 운영하고 있음",경상북도 청도군 청도읍 청화로 202-3,경상북도 청도군 청도읍 고수리 969-20,35.64087777,128.7460137,251.0,8,2012,054-370-6172,경상북도 청도군청,2024-08-12,5190000,경상북도 청도군
나무전거리,"목재,문짝,씽크대,합판 등을 취급하고 창호를 비롯한 문 가공하는 거리",광주광역시 동구 경양로 300-1,광주광역시 동구 동명동 253-1,35.15439961,126.9221094962,610.0,85,2007,062-608-2715,광주광역시 동구청,2024-03-03,3590000,광주광역시 동구
전자의거리,"가전제품,전자부품,음향기기,전기자재,CCTV,컴퓨터,영상 및 방송시설 등 전자상가 중심의 상점거리",광주광역시 동구 독립로264번길 25,광주광역시 동구 대인동 27,35.1534492576,126.9136593315,210.0,102,2007,062-608-2715,광주광역시 동구청,2024-03-03,3590000,광주광역시 동구
아시아음식문화거리,각국의 음식과 문화를 맛보고 체험할 수 있는 음식테마거리 조성,광주광역시 동구 문화전당로35번길 18-1,광주광역시 동구 광산동 92-19,35.1453711,126.917253,600.0,280,2007,062-608-2413,광주광역시 동구청,2024-03-03,3590000,광주광역시 동구
예술의거리,"갤러리와 화방,표구점,골동품점, 소극장, 전통찻집이 모여있는 거리",광주광역시 동구 예술길 24,광주광역시 동구 궁동 52-2,35.1497647842,126.9186349338,603.0,220,1987,062-608-2407,광주광역시청,2024-03-03,3590000,광주광역시 동구
청산생선국수음식거리,청정지역에서 서식하는 민물고기를 이용한 생선국수와 도리뱅뱅이 등을 맛 볼 수 있는 음식거리,충청북도 옥천군 청산면 지전길+충청북도 옥천군 청산면 남부로 일원,,36.3447472,127.789367,567.0,8,2018,043-730-3422,충청북도 옥천군청,2024-08-01,4430000,충청북도 옥천군
구룡포 일본인 가옥거리,일제강점기 때 일본인 집단 거주지,경상북도 포항시 남구 구룡포읍 구룡포길 153-1,경상북도 포항시 남구 구룡포읍 구룡포리 153-1,35.99593285,129.5654046,453.0,14,2011,054-270-2274,경상북도 포항시청,2024-08-05,5020000,경상북도 포항시
행리단길 음식문화거리,화성행궁 근처에 행리단길이 조성되어 카페· 식당· 소품가게 등 데이트 코스로 각광받고 있음,경기도 수원시 팔달구 신풍로 47(신풍동) 일원,경기도 수원시 팔달구 신풍동 32-1,37.2852970853,127.0140820716,520.0,61,2023,031-228-2228,경기도 수원시청,2024-08-01,3740000,경기도 수원시
장다리로 음식문화거리,갈비· 경양식· 칼국수집 등 대형 맛집을 중심으로 외식대표메뉴들이 밀집되어있음,경기도 수원시 팔달구 장다리로 231(인계동) 일원,경기도 수원시 팔달구 인계동 971-5,37.2705028423,127.0261193,1000.0,78,2023,031-228-2228,경기도 수원시청,2024-08-01,3740000,경기도 수원시
권선2동 맛고을 음식문화거리,도·소매시장인 수원농수산물시장과 인접해 있어 신선한 재료공급이 가능한 80개소가 넘는 음식점이 모여있는 먹자골목,경기도 수원시 권선구 권중로56번길 32(권선동) 일원,경기도 수원시 권선구 권선동 1253-4,37.2531491,127.0296721,338.0,86,2024,031-228-2228,경기도 수원시청,2024-08-01,3740000,경기도 수원시
장안문거북시장길,30년 이상된 점포들이 대부분이며 설렁탕 곱창 보쌈 등 한식 위주의 음식점이 많음,경기도 수원시 장안구 정조로934 일원(영화동),경기도 수원시 장안구 영화동 302,37.2910355008,127.0127416693,255.0,35,2020,031-228-2228,경기도 수원시청,2024-08-01,3740000,경기도 수원시
파장천맛고을,콩요리 사골청국장 추어탕 오리고기 등 100㎡ 이상의 규모가 크고 오래된 전통음식점이 많음,경기도 수원시 장안구 파장천로 92 일원(파장동),경기도 수원시 장안구 파장동 328-1,37.3125975,126.9991118605,1500.0,40,2020,031-228-2228,경기도 수원시청,2024-08-01,3740000,경기도 수원시
반딧불이 연무시장 낭만거리,오징어 요리 매운탕 스테이크 등 다양한 먹거리가 있음,경기도 수원시 장안구 월드컵로428번길 20 일원(연무동),경기도 수원시 장안구 연무동 236-1,37.2943556,127.0264093,577.0,50,2020,031-228-2228,경기도 수원시청,2024-08-01,3740000,경기도 수원시
금곡동 어울림상가 음식문화거리,젊은층이 좋아하는 프랜차이즈 음식점 커피전문점 등이 많이 있음,경기도 수원시 권선구 금호로 73-17 일원(금곡동),경기도 수원시 권선구 금곡동 1136-1,37.2713841,126.9583412,964.0,76,2020,031-228-2228,경기도 수원시청,2024-08-01,3740000,경기도 수원시
화성행궁맛촌거리,수원화성박물관 수원통닭거리 지동순대타운 등이 도보로 10분 이내 거리에 있어 관광객들이 꾸준히 찾아오고 있음.,경기도 수원시 팔달구 행궁로 28 일원(남창동),경기도 수원시 팔달구 남창동 91-3,37.2800689,127.0147155,753.0,56,2020,031-228-2228,경기도 수원시청,2024-08-01,3740000,경기도 수원시
천천먹거리촌,한식 중식 일식 등을 취급하는 20년 이상된 먹거리촌으로 음식점과 한지 악기 건강식품점 등이 있으며 최근 젊은층이 선호하는 마카롱 와플 등의 까페들도 생기면서 남녀노소 즐길 수 있는 먹거리촌을 형성하고 있음.,경기도 수원시 장안구 덕영대로511번길 29-18 일원(천천동),경기도 수원시 장안구 천천동 507-14,37.2998041938,126.9799352,151.0,68,2021,031-228-2228,경기도 수원시청,2024-08-01,3740000,경기도 수원시
